Division,Ref #,ANZSCO code,Subject Area,ANZSCO title,Skill In Demand 2015,"Years in shortage - 5 years to 2015","Years in shortage- 10 years to 2015"
C,2,394111,Technicians and Trades,Cabinetmaker,X,2,7
C,2,394211,Technicians and Trades,Furniture Finisher,,0,4
R,17,394212,Technicians and Trades,Picture Framer,,0,4
C,2,394213,Technicians and Trades,Wood Machinist,,0,3
C,2,399111,Technicians and Trades,Boat Builder and Repairer,,1,4
G,6,399411,Technicians and Trades,Jeweller,,1,2
M,12,399611,Technicians and Trades,Signwriter,,0,4
Q,16,399913,Technicians and Trades,Optical Dispenser,,0,4
B,1,712211,Technicians and Trades,Driller,,1,2
Q,16,411213,Community and Personal Service Workers,Dental Technician,,1,5
Q,16,411411,Community and Personal Service Workers,Enrolled Nurse,,2,5
Q,16,421111,Community and Personal Service Workers,Child Care Worker,,3,7
